Region,newdate,Deaths,Recoveries,Active,DeathRateCases
Australia,2020-3-9,3,21,52,0.039473684
Australia,2020-3-10,3,21,68,0.032608696
Australia,2020-3-11,3,21,84,0.027777778
Australia,2020-3-12,3,21,104,0.0234375
Austria,2020-1-22,0,0,0,
Austria,2020-1-23,0,0,0,
Austria,2020-1-24,0,0,0,
Austria,2020-1-25,0,0,0,
Austria,2020-1-26,0,0,0,
Austria,2020-1-27,0,0,0,
Austria,2020-1-28,0,0,0,
Austria,2020-1-29,0,0,0,
Austria,2020-1-30,0,0,0,
Austria,2020-1-31,0,0,0,
Austria,2020-2-1,0,0,0,
Austria,2020-2-2,0,0,0,
Austria,2020-2-3,0,0,0,
Austria,2020-2-4,0,0,0,
Austria,2020-2-5,0,0,0,
Austria,2020-2-6,0,0,0,
Austria,2020-2-7,0,0,0,
Austria,2020-2-8,0,0,0,
Austria,2020-2-9,0,0,0,
Austria,2020-2-10,0,0,0,
Austria,2020-2-11,0,0,0,
Austria,2020-2-12,0,0,0,
Austria,2020-2-13,0,0,0,
Austria,2020-2-14,0,0,0,
Austria,2020-2-15,0,0,0,
Austria,2020-2-16,0,0,0,
Austria,2020-2-17,0,0,0,
Austria,2020-2-18,0,0,0,
Austria,2020-2-19,0,0,0,
Austria,2020-2-20,0,0,0,
Austria,2020-2-21,0,0,0,
Austria,2020-2-22,0,0,0,
Austria,2020-2-23,0,0,0,
Austria,2020-2-24,0,0,0,
Austria,2020-2-25,0,0,2,0
Austria,2020-2-26,0,0,2,0
Austria,2020-2-27,0,0,3,0
Austria,2020-2-28,0,0,3,0
Austria,2020-2-29,0,0,9,0
Austria,2020-3-1,0,0,14,0
Austria,2020-3-2,0,0,18,0
Austria,2020-3-3,0,0,21,0
Austria,2020-3-4,0,0,29,0
Austria,2020-3-5,0,0,41,0
Austria,2020-3-6,0,0,55,0
Austria,2020-3-7,0,0,79,0
Austria,2020-3-8,0,0,104,0
Austria,2020-3-9,0,2,129,0
Austria,2020-3-10,0,4,178,0
Austria,2020-3-11,0,4,242,0
Austria,2020-3-12,1,4,356,0.002770083
Azerbaijan,2020-1-22,0,0,0,
